headline,lead_paragraph,date
U.S. Policy on Russia? Trump and His Team Might Give Different Answers,"WASHINGTON — After Russian forces seized three Ukrainian ships in November and threatened to turn the Sea of Azov into a Russian lake, Trump administration officials outlined possible responses like imposing additional sanctions, sending ships to make port calls or deploying monitors.",2019-01-21 00:53:52+00:00
Why Vietnam Appeals as Possible Host for Trump-Kim Summit,"HONG KONG — With President Trump planning to meet North Korea’s leader, Kim Jong-un, next month, Vietnam appears to be the leading contender as host for the event.",2019-01-21 10:06:15+00:00
Pessimism Looms Over Prospect of a Sweeping China Trade Deal,"WASHINGTON — As a critical round of talks with China kicks off next week, the Trump administration is increasingly pessimistic that Beijing will make the kind of deep structural changes to its economy that the United States wants as part of a comprehensive trade agreement, according to officials involved with the talks.",2019-01-21 17:18:44+00:00
U.S. Will Ask Canada to Extradite Huawei Executive,WASHINGTON — The United States plans to formally request within a week that Canada extradite a top Huawei executive to stand trial for charges related to violating American sanctions on Iran.,2019-01-22 23:15:22+00:00
"As Next Trump-Kim Summit Nears, Japan Worries U.S. Will Leave It in the Dark","DAVOS, Switzerland — A month before President Trump is scheduled to meet for a second time with Kim Jong-un of North Korea, Prime Minister Shinzo Abe of Japan appealed to Mr. Trump to keep him in the loop as he seeks a disarmament deal with the North.",2019-01-23 20:19:52+00:00
DealBook Briefing: Trump Delays Address Until After Shutdown,Good Thursday morning. Want this by email? Sign up here.,2019-01-24 11:57:30+00:00
Russia Warns U.S. Not to Intervene in Venezuela as Military Backs Maduro,"CARACAS, Venezuela — The embattled government of Venezuela struck back against its opponents on Thursday, winning strong support from the country’s armed forces and the solid backing of Russia, which warned the United States not to intervene.",2019-01-24 14:33:17+00:00
"On Venezuela, Rubio Assumes U.S. Role of Ouster in Chief","WASHINGTON — His hand chopping in the air, his voice stern and stalwart, he declared that it was time for the regional despot to go and warned of the consequences if he did not. With a commander in chief’s resolve, he vowed that the United States would do whatever it took to protect its own diplomats on the ground.",2019-01-26 19:30:25+00:00
U.S. and Taliban Edge Toward Deal to End America’s Longest War,"KABUL, Afghanistan — The United States and the Taliban are closing in on a deal to end America’s longest war after six days of some of the most serious Afghan peace negotiations to date wrapped up on Saturday.",2019-01-26 19:56:39+00:00
"In 5G Race With China, U.S. Pushes Allies to Fight Huawei","Jeremy Hunt, the British foreign minister, arrived in Washington last week for a whirlwind of meetings facing a critical question: Should Britain risk its relationship with Beijing and agree to the Trump administration’s request to ban Huawei, China’s leading telecommunications producer, from building its next-generation computer and phone networks?",2019-01-27 01:00:06+00:00
DealBook Briefing: 5G Is the New Arms Race With China,Good Monday morning. Want this by email? Sign up here.,2019-01-28 11:47:00+00:00
U.S. Targets Venezuela With Tough Oil Sanctions During Crisis of Power,"WASHINGTON — The Trump administration imposed sanctions against Venezuela’s state-owned oil company on Monday, seeking to cripple the government of embattled President Nicolás Maduro by cutting off its main source of cash.",2019-01-28 21:09:25+00:00
Huawei and Top Executive Face Criminal Charges in the U.S.,"WASHINGTON — The Justice Department unveiled sweeping charges on Monday against the Chinese telecom firm Huawei and its chief financial officer, Meng Wanzhou, outlining a decade-long attempt by the company to steal trade secrets, obstruct a criminal investigation and evade economic sanctions on Iran.",2019-01-28 21:45:49+00:00
"On North Korea and Iran, Intelligence Chiefs Contradict Trump","WASHINGTON — A new American intelligence assessment of global threats has concluded that North Korea is unlikely to give up its nuclear stockpiles and that Iran is not, for now, taking steps necessary to make a bomb, directly contradicting the rationale of two of President Trump’s foreign policy initiatives.",2019-01-29 10:00:06+00:00
DealBook Briefing: Criminal Charges for Huawei and a Top Executive,Good Tuesday morning. Want this by email? Sign up here.,2019-01-29 11:35:17+00:00
"Huawei and China, Facing U.S. Charges, Have Few Ways to Retaliate","SHANGHAI — Ever since Meng Wanzhou, the chief financial officer at the Chinese technology giant Huawei, was arrested in Canada nearly two months ago, Chinese officials have denounced the move as “wrongful” and “arbitrary” — a political affair cloaked in a judicial one.",2019-01-29 12:11:49+00:00
"Huawei, Venezuela, Brexit: Your Wednesday Briefing",(Want to get this briefing by email? Here’s the sign-up.) ,2019-01-29 19:13:31+00:00
What Keeps the Spies Up at Night,"This year’s “Worldwide Threat Assessment” — compiled by the country’s 17 intelligence agencies — is lengthy and growing: terrorism, climate change, hostile foreign powers, rising nationalism, illegal drugs, cyberattacks and organized crime. Those threats will “expand and diversify” in 2019, the director of national intelligence, Dan Coats, told the Senate Intelligence Committee at a hearing on Tuesday.",2019-01-30 00:08:51+00:00
"Opposition Leader, and Oil, Become Focus of Venezuela-U.S. Struggle","CARACAS, Venezuela — Reeling from American oil sanctions, President Nicolás Maduro’s government on Tuesday fought to keep its grip on Venezuela, opening an investigation into what it called the “violent acts” of the nation’s opposition leader, freezing his assets and barring him from leaving the country.",2019-01-30 00:36:54+00:00
"Trade Talks With China Open in Washington, as Obstacles Abound","Top officials from the United States and China began two days of face-to-face trade talks on Wednesday, trying to break an impasse that has left the world’s two largest economies in a damaging trade war.",2019-01-30 10:00:05+00:00
DealBook Briefing: Hoping to Bridge the Gap in Trade Talks,Good Wednesday morning. Want this by email? Sign up here.,2019-01-30 11:37:03+00:00
"Trump Optimistic on Trade Deal With China, but May Keep Tariffs Anyway","WASHINGTON — President Trump expressed optimism Thursday about reaching a landmark trade deal with China, but said in an interview that he would consider leaving in place some tariffs on Chinese goods even if the two sides strike an agreement.",2019-01-31 13:50:58+00:00
The U.S. Needs to Stay Out of Venezuela,"Secretary of State Mike Pompeo, speaking to the United Nations Security Council on Jan. 26, called on “every other nation to pick a side” and to “stand with the forces of freedom” in the standoff between President Nicolás Maduro of Venezuela and Juan Guaidó, the head of the country’s National Assembly, who declared his interim presidency on Jan. 23 and quickly won the support of the United States and many other countries in the Western Hemisphere.",2019-01-31 20:00:04+00:00
U.S. Suspends Nuclear Arms Control Treaty With Russia,"WASHINGTON — The Trump administration said on Friday that it was suspending one of the last major nuclear arms control treaties with Russia, following five years of heated conversations over accusations by the United States that Moscow is violating the Reagan-era agreement.",2019-02-01 10:00:15+00:00
DealBook Briefing: Trump May Leave Tariffs on China in Place,Good Friday morning. Want this by email? Sign up here.,2019-02-01 11:36:21+00:00
The Week in Tech: Bracing for the Year of the Pig in China,"Each week, technology reporters and columnists from The New York Times review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry. Want this newsletter in your inbox? Sign up here.",2019-02-01 14:00:01+00:00
Russia Pulls Out of I.N.F. Treaty in ‘Symmetrical’ Response to U.S. Move,"MOSCOW — President Vladimir V. Putin of Russia, in a decision that was widely expected, suspended his country’s observance of a key nuclear arms control pact on Saturday in response to a similar move by the United States a day before.",2019-02-02 15:08:20+00:00
"Lion Air, Venezuela, Apple: Your Monday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2019-02-04 04:40:57+00:00
Lunar New Year in the Golden State,Good morning.,2019-02-04 14:12:46+00:00
Qatar and Exxon Mobil Plan $10 Billion Gas Investment in Texas,HOUSTON — Qatar Petroleum and Exxon Mobil said on Tuesday that they are making a big investment in American natural gas exports. The deal is designed in part to strengthen Qatar’s ties with the United States nearly two years after Saudi Arabia and its allies launched a trade embargo against the country.,2019-02-05 17:26:51+00:00
Trump Nominates David Malpass to Head World Bank,"WASHINGTON — President Trump on Wednesday nominated David Malpass, a top Treasury official and Wall Street veteran, to be the next president of the World Bank.",2019-02-06 18:58:36+00:00
The U.S. Can Help Solve the Venezuelan Crisis by Not Being a Bully,"MEXICO CITY — As the Venezuelan crisis worsens,  nearly every country that backs Juan Guaidó as the interim president has come to agree that Nicolás Maduro’s resignation is the first step toward any type of negotiation. This is a departure from previous diplomatic attempts to establish a dialogue between the Maduro government and the opposition. The effort in Uruguay this week at the behest of the European Union opens up a new window for a peaceful resolution. ",2019-02-06 22:30:04+00:00
Key Senator Warns of Dangers of Chinese Investment in 5G Networks,"WASHINGTON — Senator Richard M. Burr, the head of the Senate Intelligence Committee, warned American corporations on Wednesday that using Chinese technology in next-generation telecommunication networks could pose security risks, but stopped short of endorsing a ban on such equipment that the Trump administration is considering.",2019-02-07 00:44:47+00:00
Trump Will Not Meet President Xi Jinping of China Before Trade Deal Deadline,"WASHINGTON — President Trump said on Thursday that he would not meet this month with President Xi Jinping of China, raising new concerns that the United States will not be able to complete a trade deal with China before American tariffs increase on March 2.",2019-02-07 23:16:41+00:00
News Quiz: Test Your Knowledge of the Week’s Headlines,Did you stay up to date this week?,2019-02-08 09:07:54+00:00
"With a Trump Ally Taking the Gavel, Senate Foreign Relations Committee Goes Quiet","WASHINGTON — Senator Bob Corker of Tennessee used his perch atop the storied Foreign Relations Committee to offer barbed criticisms of the president’s foreign policy, once acidly referring to the White House as an “adult day care center” that would set the nation on a path to World War III.",2019-02-09 15:08:05+00:00
U.S.-China Trade Talks Face Big Obstacle: Ensuring That Promises Are Kept,"BEIJING — When China joined the World Trade Organization, the global fraternity of cross-border commerce, it promised to open itself up to foreigners in lucrative businesses like banking, telecommunications and electronic-payment processing.",2019-02-12 16:56:50+00:00
Trump Says U.S. May Delay China Trade Deal Deadline,"WASHINGTON — President Trump said on Tuesday that he would consider delaying a March 2 deadline to reach a trade deal with China, saying the United States might not impose higher tariffs on Chinese goods if talks with Beijing were going well.",2019-02-12 18:39:39+00:00
"Trump Trying to Counter China in the ‘Wrong Way,’ Former Officials Say","WASHINGTON — To compete with a more assertive China, the United States should invest in alliances and multilateral institutions, which President Trump and his administration have rejected or undermined, a report issued Tuesday by prominent scholars and former top White House, State Department and trade officials working on China concluded.",2019-02-12 19:20:47+00:00
Administration Readies Order to Keep China Out of Wireless Networks,"WASHINGTON — The Trump administration is moving closer to completing an executive order that would ban telecommunications companies in the United States from using Chinese equipment while building next-generation wireless networks, according to American officials.",2019-02-13 01:58:52+00:00
DealBook Briefing: Trump’s Shifting Trade Talk Deadline,Good Wednesday. Want this by email? Sign up here.,2019-02-13 11:26:23+00:00
U.S. Revives Secret Program to Sabotage Iranian Missiles and Rockets,"WARSAW — The Trump White House has accelerated a secret American program to sabotage Iran’s missiles and rockets, according to current and former administration officials, who described it as part of an expanding campaign by the United States to undercut Tehran’s military and isolate its economy.",2019-02-13 17:20:15+00:00
"Europe Flags American Territories in ‘Dirty Money’ List, Deepening Rift With U.S.","FRANKFURT — The United States assailed the European Union on Wednesday for adding American territories to its “dirty money” list, opening a new rift in a relationship that has grown increasingly fractious amid disputes over trade and Iran sanctions.",2019-02-13 23:40:16+00:00
"New Zealand Fears Fraying Ties With China, Its Biggest Customer","WELLINGTON, New Zealand — On Saturday, an Air New Zealand plane bound for Shanghai abruptly turned around in circumstances that remain unclear. Days later, the launch of a much-promoted tourism initiative planned between China and New Zealand was canceled, purportedly because of scheduling issues for Beijing, despite being planned for years.",2019-02-14 09:34:05+00:00
Venezuela’s Top Diplomat Enlists Support From Dozens of Nations to Counter U.S.,"UNITED NATIONS — Venezuela’s foreign minister said Thursday that a new coalition of nations would fight what he called an illicit, American-led effort to topple his government, and he accused the United States of using sanctions and emergency aid as political weapons against Venezuelans.",2019-02-15 00:16:00+00:00
How China Brings Us Together,"I’ve always thought Americans would come together when we realized that we faced a dangerous foreign foe. And lo and behold, now we have one: China. It’s become increasingly clear that China is a grave economic, technological and intellectual threat to the United States and the world order.",2019-02-15 01:10:16+00:00
China and U.S. to Continue Trade Talks Next Week,"BEIJING — United States officials said on Friday that they had made “progress” during a week of trade talks with their Chinese counterparts, but big sticking points remain and the two sides plan to continue negotiations next week in Washington to try to end the trade war.",2019-02-15 07:22:09+00:00
Government by Hannity,This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.,2019-02-15 13:30:38+00:00
"In Eastern Europe, U.S. Officials Talk Deals, Not Erosion of Democracy","WARSAW — In Budapest this week, Secretary of State Mike Pompeo warned bluntly of security threats from Russia and China, but he did not overtly criticize the assault on liberal democracy by Prime Minister Viktor Orban of Hungary, who has systematically stripped the courts, media and academia of their independence.",2019-02-15 21:47:59+00:00
"Air Force Defector to Iran Severely Damaged U.S. Intelligence Efforts, Ex-Officials Say","WASHINGTON — A former Air Force sergeant who defected to Iran did severe damage to American intelligence operations, and is suspected of revealing the names of double agents run by United States military intelligence, some of whom had their cover blown after her defection, according to former counterintelligence officials.",2019-02-15 22:10:59+00:00
Merkel Rejects U.S. Demands That Europe Pull Out of Iran Nuclear Deal,MUNICH — Chancellor Angela Merkel of Germany delivered a strong rejoinder on Saturday to American demands that European allies pull out of the Iran nuclear deal and gave a spirited defense of multilateral institutions in a world increasingly marked by great-power rivalry.,2019-02-16 15:12:04+00:00
Heather Nauert Withdraws From Consideration as U.N. Ambassador,"PALM BEACH, Fla. — President Trump’s pick to serve as ambassador to the United Nations withdrew from consideration on Saturday, citing family concerns.",2019-02-17 02:02:14+00:00
Rift Between Trump and Europe Is Now Open and Angry,MUNICH — European leaders have long been alarmed that President Trump’s words and Twitter messages could undo a trans-Atlantic alliance that had grown stronger over seven decades. They had clung to the hope that those ties would bear up under the strain.,2019-02-17 14:38:37+00:00
Chinese and Iranian Hackers Renew Their Attacks on U.S. Companies,SAN FRANCISCO — Businesses and government agencies in the United States have been targeted in aggressive attacks by Iranian and Chinese hackers who security experts believe have been energized by President Trump’s withdrawal from the Iran nuclear deal last year and his trade conflicts with China.,2019-02-18 07:00:07+00:00
"China, the Vatican, Kashmir: Your Tuesday Briefing",(Want to get this briefing by email? Here’s the sign-up.) ,2019-02-18 18:46:40+00:00
Huawei Founder Slams U.S. Charges as ‘Politically Motivated’,"BEIJING — Ren Zhengfei, the founder of the Chinese technology giant Huawei, has accused the United States of having political motivations in leveling criminal charges against the company and his daughter, a top Huawei executive.",2019-02-19 03:54:04+00:00
House Opens Inquiry Into Proposed U.S. Nuclear Venture in Saudi Arabia,"WASHINGTON — Top Trump administration officials have pushed to build nuclear power plants throughout Saudi Arabia over the vigorous objections of White House lawyers who question the legality of the plan and the ethics of a venture that could enrich Trump allies, according to a new report by House Democrats released on Tuesday.",2019-02-19 16:02:17+00:00
"Huawei, Karl Lagerfeld, India: Your Wednesday Briefing",(Want to get this briefing by email? Here’s the sign-up.) ,2019-02-19 19:21:09+00:00
DealBook Briefing: The Big Problems Facing the Trade Talks,Good Wednesday. Want this by email? Sign up here.,2019-02-20 11:09:36+00:00
"Huawei Risks to Britain Can Be Blunted, U.K. Official Says, in a Rebuff to U.S.",LONDON — The Trump administration has spent a year trying to convince America’s allies in Europe that the Chinese telecommunications giant Huawei is a grave threat to their national security and should not be allowed any role in developing new wireless networks.,2019-02-20 19:40:08+00:00
DealBook Briefing: Could Trump Cave Too Easily on a China Trade Deal?,Good Thursday. Want this by email? Sign up here.,2019-02-21 11:33:30+00:00
"Bangladesh, Xinjiang, Venezuela: Your Friday Briefing",(Want to get this briefing by email? Here’s the sign-up.) ,2019-02-21 18:56:22+00:00
"Huawei Is Expanding in Canada, Despite U.S. Pressure","SAN FRANCISCO — Huawei, the Chinese technology company accused by the authorities in the United States of posing a security risk, is expanding its operations in Canada.",2019-02-21 19:50:04+00:00
U.S. Wrangles China for Firm Commitments as Trade Talks Continue,"WASHINGTON — As President Trump dangles the possibility of extending a March deadline to reach a trade deal with China, his advisers are trying to secure firm commitments from Beijing to purchase more American products, prevent currency manipulation and end its practice of forcing American companies to hand over valuable technology.",2019-02-21 19:53:29+00:00
Family of American Imprisoned on Spy Charge in China Appeals for Help,"BEIJING — Kai Li, an American businessman born in China, had stepped off a plane in Shanghai, preparing to visit his mother’s grave. Instead, Chinese state security officers grabbed him and accused him of spying, and a court later sentenced him to 10 years in prison after a short, secretive trial.",2019-02-22 13:05:31+00:00
"U.S. and China Extend Talks, but Final Deal Remains Elusive","WASHINGTON — President Trump said the United States and China were moving closer toward a trade agreement and suggested that the fate of Huawei, the Chinese telecom giant facing criminal charges along with its chief financial officer, could be resolved as part of a final trade deal with Beijing.",2019-02-22 21:36:12+00:00
"The Week in Business: Saudi Arabia Turns East, and Trump and Kim Meet Again","Charlotte is off this week, and I’m here to give you some light reading so you can chat knowledgeably about business at that fancy Oscars party you’re surely attending. Here are your talking points!",2019-02-23 18:40:27+00:00
"Defender of World Order or Trump Mouthpiece? Pompeo Is Tested by North Korea, Iran and U.S. Allies","WARSAW — In the eyes of Mike Pompeo, the day was shaping up to be one of his most commanding displays of diplomacy since becoming secretary of state. Months of planning had finally yielded a meeting among reluctant European officials, Arab leaders and the Israeli prime minister to strategize over confronting Iran.",2019-02-24 13:00:08+00:00
"Venezuela, North Korea, the Oscars: Your Monday Briefing",(Want to get this briefing by email? Here’s the sign-up.),2019-02-24 19:02:41+00:00
"Trump Delays a Tariff Deadline, Citing Progress in China Trade Talks",WASHINGTON — President Trump delayed his own deadline to increase tariffs on Chinese goods on Sunday as his administration continues a monthslong effort to persuade Beijing to make significant structural changes to its economy that have so far proved elusive.,2019-02-24 23:34:02+00:00
