headline,lead_paragraph,date
"China hardens rhetoric on Tibet, Taiwan and U.S.","BEIJING — The Chinese government announced Tuesday that the nation faced important threats in the form of independence movements related to Taiwan, Tibet and the western desert region of Xinjiang, and that U.S. arms sales to Taiwan continued to jeopardize stability in Asia.",2009-01-20 05:00:00+00:00
China sees threats from separatists and U.S. arms sales,"BEIJING — The Chinese government announced Tuesday that the nation faces important threats in the form of independence movements related to Taiwan, Tibet and the western desert region of Xinjiang, and that American arms sales to Taiwan continue to jeopardize stability in Asia.",2009-01-20 05:00:00+00:00
China Sees Separatist Threats,"BEIJING  China said Tuesday that it faces threats from independence movements related to Taiwan, Tibet and the western desert region of Xinjiang, and that American arms sales to Taiwan jeopardize stability in Asia. ",2009-01-20 11:33:57+00:00
Europe's divisions show through as it welcomes the Obama era,"BRUSSELS — Since well before the inauguration of Barack Obama, European Union officials have been trying to organize the first summit meeting between their leaders and the new president of the United States.",2009-01-21 05:00:00+00:00
Obama clings to his BlackBerry,"WASHINGTON — President Barack Obama has overruled the concerns of the U.S. Secret Service and the National Security Agency and will keep his BlackBerry, a spokesman, Robert Gibbs, said Thursday.",2009-01-22 05:00:00+00:00
America's next step,"Support for President Barack Obama among Americans, including many who did not vote for him, is unprecedented. Globally, too, there has been deep interest in the election and widespread hope for change in U.S. policy. Practically everyone the world over now wishes Obama success.",2009-01-23 05:00:00+00:00
Senate Choice: Folksy Centrist Born to Politics,"She would seem the longest of long shots, this young, centrist Democrat from rural upstate New York who was just re-elected to her second term in Congress and is now inheriting the Senate seat vacated by Hillary Rodham Clinton.",2009-01-23 18:22:25+00:00
China Jittery About Obama Amid Signs of Harder Line,"WASHINGTON  Whether it was a shot across the bow or a simple restatement of his boss’s views, Timothy F. Geithner’s assertion that China “manipulates” its currency has complicated a crucial front in President Obama’s efforts to improve America’s relations with the world.",2009-01-24 04:10:44+00:00
China Jittery About Obama Amid Signs of Harder Line,"WASHINGTON  Whether it was a shot across the bow or a simple restatement of his boss’s views, Timothy F. Geithner’s assertion that China “manipulates” its currency has complicated a crucial front in President Obama’s efforts to improve America’s relations with the world.",2009-01-24 10:50:13+00:00
Remembering Germany,WASHINGTON,2009-01-26 04:28:39+00:00
Is Europe's welfare system a model for the 21st century?,"DAVOS, Switzerland — Along with skiing and partying into the night, Europe-bashing has long been a favorite sport when the world's business and political elite gather here for their once-a-year winter schmoozefest.",2009-01-27 05:00:00+00:00
Is Europe's welfare system a model for the 21st century?,"DAVOS, Switzerland — Along with skiing and partying into the night, Europe-bashing has long been a favorite sport when the world's business and political elite gather here for their once-a-year winter schmoozefest.",2009-01-27 05:00:00+00:00
Is Europe's welfare system a model for the 21st century?,"DAVOS, Switzerland — Along with skiing and partying into the night, Europe-bashing has long been a favorite sport when the world's business and political elite gather here for their once-a-year winter schmoozefest.",2009-01-27 05:00:00+00:00
Is Europe's welfare system a model for the 21st century?,"DAVOS, Switzerland — Along with skiing and partying into the night, Europe-bashing has long been a favorite sport, whenever the world's business and political elite gather here for their once-a-year winter schmoozefest.",2009-01-27 05:00:00+00:00
Clinton amplifies a conciliatory tone toward Iran,"WASHINGTON — Secretary of State Hillary Rodham Clinton said Tuesday that Iran had a ""clear opportunity"" to engage with the international community, amplifying the conciliatory tone struck a day earlier by President Barack Obama toward Iran and the rest of the Muslim world.",2009-01-28 05:00:00+00:00
