headline,lead_paragraph,date
U.S. Warns It May Close Embassy in Syria,"DAMASCUS, Syria — The continuing violence in Syria prompted the United States on Friday to warn that it may close its embassy here in the capital unless the Syrian government acts on a request to bolster security around the compound.",2012-01-21 02:55:46+00:00
How About Not Bombing Iran?,"If you need more convincing of the grave risks of a preemptive bombing attack on Iran, I recommend these freshly published arguments from Colin H. Kahl, who was until recently Deputy Assistant Secretary of Defense for the Middle East in the Obama administration; R. Nicholas Burns, who was Under Secretary of State for Political Affairs in the George W. Bush administration; and my Times colleague Roger Cohen, who sums it up this way:",2012-01-23 01:00:44+00:00
Europe and U.S. Tighten Vise of Sanctions on Iran,"BRUSSELS — The European Union agreed Monday to impose a phased ban on oil purchases from Iran that officials said was needed to help force a shift in policy and avert the risk of military strikes against Tehran, as the United States expanded its sanctions to include the country’s third-largest bank. ",2012-01-23 10:56:52+00:00
What's Left to Do About Damascus?,"BERLIN — So far, it is hard to fault the Europeans.",2012-01-23 18:20:38+00:00
Obama Gives China the Business,"HONG KONG — President Obama repeatedly attacked Chinese trade practices in his State of the Union speech Tuesday night in Washington. But with the exception of Myanmar, where Mr. Obama said “a new beginning’’ was taking shape, most of the rest of Asia got no mention at all. No Japan, no India and neither Korea.",2012-01-25 06:21:33+00:00
Will Israel Attack Iran?,"As the Sabbath evening approached on Jan. 13, Ehud Barak paced the wide living-room floor of his home high above a street in north Tel Aviv, its walls lined with thousands of books on subjects ranging from philosophy and poetry to military strategy. Barak, the Israeli defense minister, is the most decorated soldier in the country’s history and one of its most experienced and controversial politicians. He has served as chief of the general staff for the Israel Defense Forces, interior minister, foreign minister and prime minister. He now faces, along with Prime Minister Benjamin Netanyahu and 12 other members of Israel’s inner security cabinet, the most important decision of his life — whether to launch a pre-emptive attack against Iran. We met in the late afternoon, and our conversation — the first of several over the next week — lasted for two and a half hours, long past nightfall. “This is not about some abstract concept,” Barak said as he gazed out at the lights of Tel Aviv, “but a genuine concern. The Iranians are, after all, a nation whose leaders have set themselves a strategic goal of wiping Israel off the map.”",2012-01-25 09:58:07+00:00
How Obama’s Tough Talk Plays in China,"BEIJING — President Obama took a new swipe at China’s economic policies in his State of the Union speech on Tuesday, and leaders here are unlikely to be surprised. China’s rulers know that Mr. Obama faces a tough re-election battle, and they know that he must address his opponents’ repeated claims that he has failed to stand up to Beijing.",2012-01-25 18:09:47+00:00
Manila Negotiates Broader Military Ties With U.S.,"WASHINGTON — The United States and the Philippines are exploring increased joint military exercises and other military cooperation that would not entail a major buildup or a reopening of permanent bases, officials in both capitals said Thursday.",2012-01-26 13:36:12+00:00
"At Euro Talks, a Calm Arm-Twister From the U.S.","WASHINGTON — The world’s financiers and finance ministers have descended on the annual forum in Davos, Switzerland, at another perilous moment, with the sovereign debt woes in Europe sapping strength from emerging markets and threatening global growth.",2012-01-26 18:23:33+00:00
Obama Buttresses Case for U.S. Resilience With Book From Unlikely Source,"WASHINGTON — When Senator Barack Obama was photographed clutching a copy of “The Post-American World” as he left his campaign plane during the Democratic primaries in May 2008, some critics viewed it as a telling sign that he embraced a view of the United States as a waning world power.",2012-01-28 02:05:00+00:00
