headline,lead_paragraph,date
Afghanistan Needs a Surge of Diplomacy,"The 68-nation London conference at the end of this month will focus on the future of Afghanistan, against the backdrop of major new military commitments by the United States and NATO, promises from the international community of increased civilian assistance, and pledges of new anti-corruption measures from President Hamid Karzai of Afghanistan.",2010-01-20 12:41:02+00:00
Merkel Defends Actions as Support Fades in Germany,"BERLIN — Facing a sharp decline in her popularity and growing public disappointment with the new center-right coalition government, Chancellor Angela Merkel of Germany on Wednesday defended her coalition’s handling of the economic crisis, insisting that the country’s continued spending despite record debt prevented it from “falling into the abyss.”",2010-01-20 21:11:59+00:00
U.N. Official Says Climate Deal Is at Risk,"WASHINGTON  Just a month after world leaders fashioned a tentative and nonbinding agreement at the climate change summit meeting in Copenhagen, the deal already appears at risk of coming undone, the top United Nations climate official warned on Wednesday.",2010-01-21 00:43:40+00:00
China Paints Google Issue as Not Political,"This article was reported by Edward Wong, Jonathan Ansfield and Sharon LaFraniere, and written by Mr. Wong. ",2010-01-21 00:51:21+00:00
"A New Japan, a New Asia","This week marks the 50th anniversary of the U.S.-Japan alliance, but the Obama administration seems sincerely flummoxed as to whether to bemoan or commemorate the occasion.",2010-01-21 12:41:02+00:00
China Rebuffs Clinton on Internet Warning,"BEIJING  The Chinese Foreign Ministry lashed out Friday against criticism of China in a speech on Internet censorship made by Secretary of State Hillary Rodham Clinton, calling on the United States government “to respect the truth and to stop using the so-called Internet freedom question to level baseless accusations.”",2010-01-22 09:14:02+00:00
‘Forces of Fortune’,Chapter 1: The Power of Commerce ,2010-01-22 20:11:23+00:00
Teaching the Chinese Language in American Schools,To the Editor: ,2010-01-23 04:02:41+00:00
"In Japan, U.S. Losing Diplomatic Ground to China","TOKYO  When Defense Secretary Robert M. Gates visited Japan’s new leaders in October, not long after their historic election, he pressed so hard and so publicly for a military base agreement that the Japanese news media labeled him a bully. ",2010-01-23 21:35:09+00:00
China Issues Sharp Rebuke to U.S. Calls for an Investigation on Google Attacks,"BEIJING  China delivered a bristling response on Monday to the United States’ demand that it investigate recent attacks on American computers from Chinese soil, saying that any suggestion that it conducted or condoned the hackers’ intrusions was “groundless and aims to denigrate China.” ",2010-01-25 13:38:54+00:00
"As China Rises, Conflict With West Rises Too","DAVOS, Switzerland —As recently as 2008, when China was still an emerging economy eager to put its best foot forward for Western consumers, it lifted censorship, at least temporarily, on several Web sites before the Beijing Olympics. At the same time, it responded to pleas from U.S. and European politicians to cooperate on several other fronts.",2010-01-26 13:07:10+00:00
Recapping the President’s Speech,"Adam Nagourney, Jeff Zeleny, Helene Cooper and David Sanger offer their views on President Obama’s State of the Union. ",2010-01-28 04:49:41+00:00
N. Korea Arrests Second American Man,"SEOUL, South Korea  North Korea said Thursday that it had detained an American for illegally crossing into its territory from China, the second United States citizen to be held as the North’s dispute with Washington over its nuclear weapons program continues. ",2010-01-28 08:17:35+00:00
Exit America,"NEW YORK — I see that Gore Vidal, in an interview with the British daily The Independent, has been predicting America’s demise with scurrilous relish, awaiting the day when it takes its place “somewhere between Brazil and Argentina, where it belongs” and China reigns supreme.",2010-01-28 13:01:00+00:00
Obama Sets Ambitious Export Goal,"WASHINGTON  In promising Wednesday night to double the United States’ export growth over the next five years, President Obama set an ambitious goal for American trade policy that, he said, could create two million jobs.",2010-01-29 03:09:52+00:00
"Race Is on to Develop Green, Clean Technology","DAVOS, SWITZERLAND — It is shaping up to be the Great Game of the 21st century. To top officials and business executives here at the World Economic Forum, Topic A this year was the race to develop greener, cleaner technology, which is emerging as one of the critical factors in reshaping the world economy as emerging powers snap at the heels of battered Western economies.",2010-01-29 21:30:41+00:00
‘The Selling of the American Economy’,Chapter 1 ,2010-01-29 22:15:59+00:00
U.S. Approval of Taiwan Arms Sales Angers China,"WASHINGTON  The Obama administration has approved an arms sales package to Taiwan worth more than $6 billion, a move that has enraged China and may complicate President Obama’s effort to enlist Beijing’s cooperation on Iran.",2010-01-29 23:07:43+00:00
U.S. Deal With Taiwan Has China Retaliating,"HONG KONG  The Chinese government announced late Saturday an unusually broad series of retaliatory measures in response to the latest United States arms sales to Taiwan, including sanctions against American companies that supply the weapon systems for the arms sales.",2010-01-30 15:31:09+00:00
"The Race Is On to Develop Green, Clean Technology",It is shaping up to be the Great Game of the 21st century. ,2010-01-30 17:08:32+00:00
Never Heard That Before,"Davos, Switzerland",2010-01-30 23:02:53+00:00
