headline,lead_paragraph,date
Missionary Jailed in North Korea Asks U.S. to Help Free Him,"SEOUL, South Korea — A Korean-American missionary who has been jailed in North Korea for more than a year appeared at a news conference in Pyongyang on Monday and appealed to the United States government to negotiate with Pyongyang to secure his release.",2014-01-20 14:36:49+00:00
Japan Defends Dolphin Hunt After Criticism From U.S. Ambassador,"HONG KONG — The Japanese government Monday defended the practice of dolphin hunting off its coastline, taking issue with the new American ambassador, Caroline Kennedy, who pointedly criticized its “inhumaneness” in a recent Twitter post.",2014-01-21 04:33:37+00:00
Bristling Interrupts Amity in Panel on U.S.-China-Europe Ties,"DAVOS, Switzerland — When asked whether China, the United States and Europe can all play nicely together, attendees of the World Economic Forum would be expected to be largely optimistic, even if they disagreed on a few particulars.",2014-01-23 19:23:20+00:00
JPMorgan’s Chief Gets a Pay Raise,"JPMORGAN’S DIMON TO GET RAISE  |  Despite the legal troubles that JPMorgan Chases faced in 2013, which amounted to more than $20 billion in fines, Jamie Dimon, the bank’s chairman and chief executive, is getting a raise, Jessica Silver-Greenberg and Susanne Craig write in DealBook. The pay increase follows the board’s move last year to cut Mr. Dimon’s compensation in half, to $11.5 million as reprimand for allowing a multibillion-dollar trading mistake known as the London Whale.",2014-01-24 12:27:09+00:00
Weekend Reading: Looking Back at Our View From the Alps,"As the World Economic Forum concludes in Davos, Switzerland, we’re looking back at some of our past coverage of the elite gathering.",2014-01-24 21:09:30+00:00
Tension Grows Between Japan and China,"Relations between China and Japan have been strained since World War II. But now, the regional clash is having a global economic effect, Andrew Ross Sorkin writes in the DealBook column. The battle was on full display last week at the World Economic Forum in Davos, Switzerland, setting off fears that the souring relationship could pose direct economic risk to businesses across the globe. And there may be no one to defuse the situation.",2014-01-28 13:44:49+00:00
"U.S. Says Russia Tested Missile, Despite Treaty","WASHINGTON — The United States informed its NATO allies this month that Russia had tested a new ground-launched cruise missile, raising concerns about Moscow’s compliance with a landmark arms control accord. ",2014-01-30 01:56:25+00:00
Why the U.S. Embassy Releases Pollution Data in Beijing But Not in Delhi,"NEW DELHI — The United States government measures air quality levels in both its Beijing and Delhi embassies, but it only publicizes the results from its Beijing monitor. Why?",2014-01-30 12:13:32+00:00
Russia Claims U.S. Is Meddling Over Ukraine,"KIEV, Ukraine — The tense Russian-American jockeying over the fate of Ukraine escalated on Thursday as a Kremlin official accused Washington of “crudely interfering” in the former Soviet republic, while the Obama administration blamed Moscow for spreading an intercepted private conversation between two American diplomats.",2014-02-06 18:45:42+00:00
U.S. Points to Russia as Diplomats’ Private Call Is Posted on Web,"WASHINGTON — After months of taking grief for snooping on foreign leaders, the Obama administration found itself on the other side on Thursday after a private telephone call between two American diplomats appeared on the Internet in a breach that the White House tied to Russia.",2014-02-06 20:02:05+00:00
U.S. Issues Penalties Over Violations of Iran Sanctions,"The Obama administration penalized nearly three dozen companies and individuals in eight countries on Thursday, accusing them of evading Iranian sanctions. It was the administration’s most extensive enforcement action to target Iran since a temporary international agreement on that country’s disputed nuclear program was completed in November and put into effect last month.",2014-02-07 01:13:46+00:00
U.S. Issues Penalties Over Violations of Iran Sanctions,"The Obama administration penalized nearly three dozen companies and individuals in eight countries on Thursday, accusing them of evading Iranian sanctions. It was the administration’s most extensive enforcement action to target Iran since a temporary international agreement on that country’s disputed nuclear program was completed in November and put into effect last month.",2014-02-07 12:58:29+00:00
Russia and China Skip Security Council Meeting on Humanitarian Aid to Syria,"UNITED NATIONS — The morning after an aid convoy came under fire when it tried to reach a besieged Syrian city, a meeting here on a draft resolution that would force all parties in the bloody conflict to allow access for humanitarian organizations fell apart when representatives from Russia and China failed to show up, United Nations Security Council diplomats said.",2014-02-10 23:37:24+00:00
U.S. Businessman Accused of Being Crime Boss Stands Trial in China,"BEIJING — An American businessman who is accused of loan-sharking, arson, kidnapping rivals and paying thugs to toss acid in the face of a judge, among other crimes, went on trial this week in a case that has raised questions about the use of forced confessions by Chinese courts and that has prompted concern from United States officials.",2014-02-12 13:33:43+00:00
"U.S. and Canada Feel Putin Charm, Hockey Excluded","SOCHI, Russia — Turning on the charm as the host of the Winter Olympics, President Vladimir V. Putin dropped by the headquarters of the American and Canadian teams on Friday evening. He sipped red wine with leaders of the United States Olympic Committee, posed for photographs with stunned athletes and jokingly wished Canada luck — except on the ice in hockey. ",2014-02-15 01:25:47+00:00
South China Sea Tensions a Backdrop to Kerry’s China Visit," North Korea and bilateral relations between the United States and China are dominating Secretary of State John Kerry’s visit to East Asia this week, but tensions continue to simmer in the South China Sea as well.",2014-02-15 03:29:52+00:00
Nuclear Talks With Iran Start Slowly,"VIENNA — The effort to negotiate a comprehensive solution to the Iranian nuclear issue began in earnest on Tuesday, with Iranian negotiators meeting one on one with officials of the United States and other major world powers.",2014-02-18 11:22:19+00:00
U.S. Imposes Visa Ban on 20 Ukrainian Officials as Further Sanctions Are Threatened,"BRUSSELS — Expressing alarm at the lethal escalation of political violence in Ukraine, the European Union and the United States scrambled for a quick response Wednesday, threatening punitive sanctions against senior figures in the Ukrainian government. The Obama administration later said it had placed 20 top Ukrainian officials on a visa blacklist.",2014-02-19 13:26:45+00:00
Nationalistic Remarks From Japan Lead to Warnings of Chill With U.S.,"TOKYO — A series of defiantly nationalistic comments, including remarks critical of the United States, by close political associates of Prime Minister Shinzo Abe has led analysts to warn of a growing chill between his right-wing government and the Obama administration, which views Japan as a linchpin of its strategic pivot to Asia.",2014-02-20 02:11:46+00:00
Women’s Figure Skating Live Updates,,2014-02-20 12:55:59+00:00
China Criticizes Obama Over Visit by Dalai Lama,"WASHINGTON — President Obama welcomed the Dalai Lama to the White House on Friday morning, provoking a sharp rebuke from the Chinese government, which warned that the meeting would severely damage relations between Washington and Beijing.",2014-02-21 18:39:39+00:00
"Amid Fence-Mending, Another U.S.-Russia Rift","WASHINGTON — After putting the tense Russian-American relationship on “pause” last year, President Obama and his team have lately been working to get it back on track by quietly planning a possible meeting this summer with President Vladimir V. Putin. The two sides have even begun discussing a trade agreement for the two to sign.",2014-02-22 03:50:47+00:00
