headline,lead_paragraph,date
Trump Administration Slaps New Sanctions on North Korea,"WASHINGTON — The Trump administration unfurled new sanctions on Wednesday targeting North Korea and its weapons program, underscoring the aggressive approach that President Trump has promised to take against the government of Kim Jong-un.",2018-01-24 20:46:39+00:00
How U.S. Tariffs Will Hurt America’s Solar Industry,"President Trump’s decision to impose sweeping tariffs on imports of solar panels and components is the opening salvo of his America First campaign to protect domestic manufacturers from Chinese competition. The stakes are high: Solar is the world’s fastest-growing energy industry, attracting over $160 billion in investment in 2017.",2018-01-25 01:01:16+00:00
"As U.S. Trumpets ‘America First,’ Rest of the World Is Moving On","WASHINGTON — President Trump is arriving at the World Economic Forum in Davos, Switzerland, to explain his “America First” approach at a moment when the world is moving ahead with a trade agenda that no longer revolves around the United States.",2018-01-25 01:15:47+00:00
U.S. Plans to Send First Aircraft Carrier to Vietnam Since War’s End,"HONG KONG — The United States plans to send an aircraft carrier to dock in Vietnam, officials from both nations said on Thursday, a telling sign of Washington’s warming relations with a country that was once battered by American bombs.",2018-01-25 12:39:32+00:00
"At Davos, the Real Star May Have Been China, Not Trump","DAVOS, Switzerland — President Trump used the World Economic Forum meeting to woo investors and business leaders by reassuring them that “America first does not mean America alone.” But it was clear in Davos, Switzerland, this past week that geopolitical momentum lay with Beijing, not Washington.",2018-01-28 10:36:24+00:00
Oil Boom Gives the U.S. a New Edge in Energy and Diplomacy,"HOUSTON — A substantial rise in oil prices in recent months has led to a resurgence in American oil production, enabling the country to challenge the dominance of Saudi Arabia and dampen price pressures at the pump.",2018-01-28 17:58:44+00:00
Chinese Investors Keep Losing Billions Online. Here’s Why.,SHANGHAI — The company’s name appeared in ads for the local marathon. Its logo was emblazoned on the jerseys of two professional soccer teams in Spain. Its founder had been lauded by the government’s official television channel.,2018-01-29 02:10:38+00:00
"Before South America Trip, Tillerson Warns Against Trade With China","WASHINGTON — Ahead of his first trip as secretary of state to South America, Rex W. Tillerson warned countries in the Western Hemisphere on Thursday about the dangers of the region’s growing trade with China and Russia.",2018-02-01 15:27:24+00:00
U.S. Imposes Arms Ban on South Sudan as Civil War Grinds On,WASHINGTON — The United States banned the export of weapons and defense services to South Sudan on Friday in a reflection of the Trump administration’s growing frustration over that nation’s grinding civil war.,2018-02-02 21:20:45+00:00
"To Counter Russia, U.S. Signals Nuclear Arms Are Back in a Big Way","WASHINGTON — A treaty committing the United States and Russia to keep their long-range nuclear arsenals at the lowest levels since early in the Cold War goes into full effect on Monday. When it was signed eight years ago, President Barack Obama expressed hope that it would be a small first step toward deeper reductions, and ultimately a world without nuclear weapons.",2018-02-05 01:16:24+00:00
The Rise of China and the Fall of the ‘Free Trade’ Myth,"‘America first does not mean America alone,” President Trump declared last month at the World Economic Forum in Davos, Switzerland. This sudden burst of pragmatism from an avowed nationalist showed what a difference a year can make. Denouncing the “false song of globalism” during his presidential campaign, Trump, on his third full day in office, canceled the Trans-Pacific Partnership, a regional trade deal with Japan and 10 other countries. He then denounced Canada, Germany and South Korea for exporting more to the United States than they import. He promised to renegotiate trade pacts with Europe, Canada and Mexico and get a better deal for American workers. In Davos, however, he reached out with conciliatory words to the very free-trading and globalizing elites he has consistently maligned.",2018-02-07 10:00:29+00:00
