headline,lead_paragraph,date
"Leaders Abroad, Joyful or Wary, Face Uncertainty of Trump Era","MEXICO CITY — There was dismay in Britain, applause in Russia and silence in Japan. French populists found hope, Mexican leaders expressed concern and Germany’s vice chancellor offered an allusion to his country’s dark past.",2017-01-21 06:02:15+00:00
China Can Thrive in the Trump Era,"BEIJING — President Trump and the Chinese president, Xi Jinping, are in a bind. Mr. Trump’s slogan is to “Make America Great Again,” while Mr. Xi’s motto is “Great Rejuvenation of the Chinese Nation.” The phrases have the same meaning: Each leader suggests his country has declined and claims that he will restore it to the top position in the world. But the triumph of one country is built on the failure of the other. It’s a zero-sum game.",2017-01-25 08:21:11+00:00
How to Make America’s Robots Great Again,"Factories play a central role in President Trump’s parade of American horrors. In his telling, globalization has left our factories “shuttered,” “rusted-out” and “scattered like tombstones across the landscape of our nation.”",2017-01-25 10:00:31+00:00
"On Pipelines, Donald Trump Looks Backward","IF you’re searching for a lens to understand just how President Trump sees the world, his executive orders on Tuesday reviving the Keystone XL and expediting the Dakota Access pipelines provide a sharply focused glimpse. In a word, he looks backward at all times. We’re beginning to get a better sense of what he means by “again” in “Make America Great Again.”",2017-01-25 15:22:52+00:00
The Little-Known Role of Western Economists in Building a Post-Mao China,"The period of “reform and opening up” that began in December 1978 under the Chinese leader Deng Xiaoping is widely seen as the foundation of today’s China, with its socialist market economy. The influence of Western economists on Chinese experiments at that time is a little-known aspect of the history. Julian Gewirtz’s “Unlikely Partners: Chinese Reformers, Western Economists, and the Making of Global China,” published this month by Harvard University Press, looks at some of the ideas and relationships that paved the way for China’s transformation. In an interview, Mr. Gewirtz, who is a Rhodes scholar and doctoral candidate in history at the University of Oxford, discussed the lessons for China and the United States today.",2017-01-25 15:49:42+00:00
New York Today: The Year of the Rooster,"Updated, 11:20 a.m.",2017-01-26 11:04:34+00:00
Nikki Haley Puts U.N. on Notice: U.S. Is ‘Taking Names’,"UNITED NATIONS — The American ambassador to the United Nations, Nikki R. Haley, issued a stark warning on Friday to allies and rivals abroad, saying in her first remarks at the headquarters of the world body that the Trump administration would hold to account those who do not back the United States.",2017-01-27 17:18:57+00:00
Trump’s Trade War May Have Already Begun,LONDON — America’s traditional allies are on the lookout for new friends.,2017-01-30 17:58:26+00:00
"For Leaders of U.S. Allies, Getting Close to Trump Can Sting",LONDON — It had all been going so well.,2017-01-30 18:01:34+00:00
"Iran Launches a Missile, Testing Trump’s Vows of Strict Enforcement","WASHINGTON — Iran conducted its first missile test since President Trump took office, American and Israeli officials said Monday, posing an early test of whether the Trump administration will make good on its promises to strictly enforce all aspects of the Iranian nuclear deal and a side agreement on missile testing.",2017-01-30 23:43:38+00:00
Make China Great Again,America’s rivals and enemies have enjoyed a very good 10 days.,2017-01-31 08:21:03+00:00
Trump and Trade: Extreme Tactics in Search of a Point,"John Mearsheimer, a noted political scientist at the University of Chicago, has long believed that China’s rise will not be peaceful. Tensions with the United States will simmer as the Asian giant expands its influence.",2017-01-31 15:57:37+00:00
"U.S. Isn’t Building Arms Depot in the Philippines, Envoy Says",MANILA — The American ambassador to the Philippines said on Tuesday that President Rodrigo Duterte was mistaken when he accused Washington of building an arms depot and threatened to review a defense pact between the two nations.,2017-01-31 16:00:57+00:00
"Trump Threatens Europe’s Stability, a Top Leader Warns","BRUSSELS — The president of the European Council warned Tuesday that President Trump was a potential threat to the European Union, including the American leader’s bellicose pronouncements with major geopolitical challenges like Russian aggression, China’s assertiveness and international terrorism.",2017-01-31 16:43:55+00:00
"Neil Gorsuch, Rodrigo Duterte, Nintendo: Your Morning Briefing",Good morning. ,2017-01-31 19:19:09+00:00
U.S.-Australia Rift Is Possible After Trump Ends Call With Prime Minister,"WASHINGTON — A phone call between President Trump and the Australian prime minister is threatening to develop into a diplomatic rift between two stalwart allies after the two men exchanged harsh words over refugee policy, and Mr. Trump abruptly ended the call.",2017-02-02 05:15:15+00:00
The Parachute Generation,"When I first met Yang Jinkai, two days before he boarded a plane for America, the smog hanging over his industrial home city, Shenyang, had turned the sun into a ghostly orb. The 16-year-old paced around the family apartment as his mother labeled his suitcases and packed them with the comforts of home: quilted pajamas, chopsticks, instant noodles. She gestured toward a lone memento that would remain in his bedroom, a life-size needlepoint portrait of her only child, woven in shimmering gold thread. “I worked on that all year,” she said. “I knew this moment would come.”",2017-02-02 10:00:04+00:00
"Jim Mattis, Romania, Rodrigo Duterte: Your Morning Briefing",Good morning. ,2017-02-02 18:52:27+00:00
"For Europe, There’s a New Threat in Town: The U.S.",LONDON — The European Union is accustomed to crises. But it is probably safe to say that none of the 28 leaders who are gathering in Malta on Friday expected the crisis that has overtaken the agenda: the United States of America.,2017-02-02 19:32:31+00:00
United States to Australia: Get Lost,"Let’s imagine for a moment Rex Tillerson, the newly installed secretary of state, awakening to this tweet from President Trump about an important American ally:",2017-02-02 23:33:22+00:00
Donald the Menace,"For the past couple of months, thoughtful people have been quietly worrying that the Trump administration might get us into a foreign policy crisis, maybe even a war.",2017-02-03 08:21:22+00:00
Jim Mattis Says U.S. Is ‘Shoulder to Shoulder’ With Japan,"TOKYO — Defense Secretary Jim Mattis assured Japan’s prime minister on Friday that the United States would stand by its mutual defense treaty with the country, despite statements by President Trump during last year’s campaign that suggested he might pull back from American security commitments in Asia.",2017-02-03 14:32:55+00:00
China’s Intelligent Weaponry Gets Smarter,"Robert O. Work, the veteran defense official retained as deputy secretary by President Trump, calls them his “A.I. dudes.” The breezy moniker belies their serious task: The dudes have been a kitchen cabinet of sorts, and have advised Mr. Work as he has sought to reshape warfare by bringing artificial intelligence to the battlefield.",2017-02-03 19:53:22+00:00
Immigration Order Complicates U.S. Businesses’ Plans in the Middle East,"As tensions rise with nations covered by President Trump’s immigration order, American companies are watching anxiously to gauge the order’s potential impact on business prospects, particularly in Iraq and Iran.",2017-02-03 22:58:29+00:00
"No Extra Forces Needed in Gulf Now, Defense Chief Says","TOKYO — Defense Secretary Jim Mattis described Iran as the world’s greatest sponsor of terrorism on Saturday, but he emphasized that there was no pressing need for the United States to beef up its military presence in the Persian Gulf region.",2017-02-04 05:24:39+00:00
Jim Mattis Seeks to Soothe Tensions in Japan and South Korea,"WASHINGTON — President Trump relishes referring to his new defense secretary, Jim Mattis, as “Mad Dog.” Mr. Mattis has never liked the nickname, which he argues is a news media invention. But to the commander in chief, it signifies a man who knows how to take the fight to the enemy and win.",2017-02-06 00:54:56+00:00
Isolating China Doesn’t Work,"The United States and China have been inextricably linked since the birth of America. The first fortunes made in the United States came thanks to the tea trade with China. The profits made in Canton and reinvested in America transformed the young republic into the 19th century’s factory of the world. For its part, 19th-century China turned to the United States as the first country to educate its young in a desperate effort to counter the West. In the present day, the United States, with its open wallets, open universities and open society, has been by far the most important foreign enabler of China’s rise.",2017-02-06 14:45:01+00:00
"Travel Ban, Queen Elizabeth, Netanyahu: Your Morning Briefing",Good morning. ,2017-02-06 19:06:04+00:00
Where History Is Being Made,"James and Deborah Fallows have always moved to where history is being made. In the 1980s, when the Japanese economic model seemed like the wave of the future, the husband and wife team moved to Japan with their school-age children. Then, after 9/11, they were back in Washington, with James writing a series of essays for The Atlantic about what might go wrong if the U.S. invaded Iraq.",2017-02-07 08:21:23+00:00
Donald Trump’s Tweets About a Judge Find a Critic in an Unlikely Place: China,HONG KONG — President Trump’s public criticism of a federal judge who blocked his immigration order was condemned across the political spectrum as an assault on judicial independence. Now the president is being taken to task from an unexpected place: China.,2017-02-07 13:00:15+00:00
