headline,lead_paragraph,date
"China Poised to Buy More From U.S., at the Expense of U.S. Allies","DAVOS, Switzerland — When the United States and China reached a temporary truce in their costly trade war last week, many wondered how Beijing could live up to its commitment to buy $200 billion more of American-made goods over two years. Surely, critics said, China will either renege on the deal, or it will switch to buying products from American farms and factories that it is currently purchasing from other countries.",2020-01-23 10:00:24+00:00
Coronavirus Spurs China to Suspend Tours Abroad and Xi to Warn of a ‘Grave Situation’,This briefing has ended. Read about developments in the coronavirus outbreak here.,2020-01-25 05:10:10+00:00
Bolton Book Puts New Focus on Trump’s Actions in Turkey and China Cases,"WASHINGTON — It was late 2018, and President Recep Tayyip Erdogan of Turkey was on the phone with an unusual request for President Trump: Could he intervene with top members of his cabinet to curb or even shut down a criminal investigation into Halkbank, one of Turkey’s largest state-owned banks?",2020-01-28 23:34:25+00:00
"Coronavirus Spreads, and the World Pays for China’s Dictatorship","China’s leaders sometimes seem 10 feet tall, presiding over a political and economic juggernaut that has founded universities at a rate of one a week and that recently used more cement in three years than the United States did in the entire 20th century.",2020-01-30 00:11:40+00:00
"U.S. Growth at Slowest Since 2016, Complicating Trump’s Pitch","The government’s latest economic scorecard arrived on Thursday, offering fresh evidence that the economy continues to grow, but at a frustratingly slow pace.",2020-01-30 10:00:13+00:00
Duterte Orders Cabinet Not to Visit U.S. After Official’s Visa Is Denied,"MANILA — President Rodrigo Duterte of the Philippines has ordered all members of his cabinet not to travel to the United States after Washington blacklisted his former national police chief over the government’s drug war, which has left thousands dead, a top aide said Thursday.",2020-01-30 10:20:55+00:00
Pompeo Calls China’s Ruling Party ‘Central Threat of Our Times’,"LONDON — Secretary of State Mike Pompeo declared the Chinese Communist Party “the central threat of our times” on Thursday, even as he sought to talk up the prospects of a United States trade deal with Britain, which rebuffed American pressure to ban a Chinese company from future telecommunications infrastructure.",2020-01-30 16:02:32+00:00
State Department Warns Against Traveling to China Amid Coronavirus Outbreak,"The State Department on Thursday night issued an advisory telling Americans not to travel to China because of the public health threat posed by the coronavirus, as world health officials grappled with the expanding footprint of the outbreak.",2020-01-31 02:40:49+00:00
Masks Are On. Games Are Canceled. Fear of the Coronavirus Comes to U.S. Colleges.,"At the University of Wisconsin-Platteville, two undergraduates from Wuhan, China, were moved to a special dorm room and told to regularly take their temperatures. At Arizona State University, a student-led petition called for classes to be canceled after a confirmed case of coronavirus. Basketball games were postponed at Miami University in Ohio after two students who had recently returned from China displayed possible symptoms.",2020-01-31 10:00:27+00:00
Trump Administration Restricts Entry Into U.S. From China,Read about the latest developments in the coronavirus outbreak here.,2020-01-31 21:24:17+00:00
China Increasingly Walled Off as Countries Seek to Stem Coronavirus,HONG KONG — New walls are rising between China and the world as the country grapples with a fast-moving coronavirus and its mounting death toll.,2020-02-01 20:52:56+00:00
Stocks Sink as Markets Open in China,[This briefing has ended. Read about the latest developments in the coronavirus outbreak here.],2020-02-02 05:01:27+00:00
Coronavirus May Delay Hard-Fought U.S. Trade Wins in China,WASHINGTON — The rapidly spreading coronavirus could claim one more victim: the United States-China trade deal.,2020-02-03 22:37:39+00:00
"U.S. Trade Deficit Shrinks, but Not Because Factories Are Returning","WASHINGTON — The overall United States trade deficit shrank last year for the first time in six years as the American economy cooled, domestic oil production soared and President Trump waged an aggressive global trade war to rewrite America’s trading terms.",2020-02-05 13:33:38+00:00
China’s Lavish Funds Lured U.S. Scientists. What Did It Get in Return?,"More than a decade into his career as an organic chemist, Jon Antilla found a solution to the grinding task of fund-raising that, increasingly, was squeezing out his time in the laboratory.",2020-02-06 16:10:46+00:00
"China’s Dominance of 5G Networks Puts U.S. Economic Future at Stake, Barr Warns","WASHINGTON — Attorney General William P. Barr said Thursday that China’s dominance of 5G telecommunications networks was one of America’s top national security and economic threats, amplifying warnings issued for years by intelligence officials but that President Trump has sometimes undermined.",2020-02-06 18:10:52+00:00
China - Foreign Policy,"The Times sent a survey to the presidential candidates about matters of war and peace, diplomacy and national security.",2020-02-07 03:57:25+00:00
Karen Pierce Is Named U.K. Ambassador to U.S.,"LONDON — Karen Pierce, a senior career diplomat, will become Britain’s next ambassador to the United States, inheriting the tricky task of strengthening the country’s somewhat frayed “special relationship” with Washington at a time when London is at odds with Washington over several critical policies.",2020-02-07 11:57:23+00:00
U.S. Divided Over Chinese Drone Bans,"WASHINGTON — Federal agencies are split on how best to handle national security concerns surrounding popular and ubiquitous Chinese-made drones, with some policymakers chafing at more protectionist approaches.",2020-02-07 17:15:03+00:00
"First American Dies of Coronavirus, Raising Questions About U.S. Response","SHANGHAI — A United States citizen died from the coronavirus in Wuhan, China, American officials said on Saturday. It was the first known American death from the illness, and was likely to add to diplomatic friction over Beijing’s response to the epidemic.",2020-02-08 09:27:28+00:00
Philippines Tells U.S. It Will End Military Cooperation Deal,MANILA — The Philippines said Tuesday it had officially informed the United States that it was scrapping a military pact that has given the longtime American ally a security blanket for the past two decades.,2020-02-11 08:57:58+00:00
White House Official Says Huawei Has Secret Back Door to Extract Data,"WASHINGTON — Huawei has the ability to secretly retrieve sensitive information in next-generation wireless networks and other systems it maintains around the world, a top White House official said Tuesday.",2020-02-12 00:17:29+00:00
Coronavirus Forces Foreign Students in China to Choose: Stay or Go,HONG KONG — Word came from home via hurried emails and instant messages to campuses across the country: Leave China now.,2020-02-12 10:00:29+00:00
China Is Tracking Travelers From Hubei,"To combat the spread of the coronavirus, Chinese officials are using a combination of technology and policing to track movements of citizens who may have visited Hubei Province.",2020-02-13 05:06:54+00:00
"With Harsh Words, China’s Military Denies It Hacked Equifax","SHANGHAI — China’s military on Thursday denied accusations that it hacked Equifax, one of the largest credit reporting companies in the United States.",2020-02-13 08:27:52+00:00
U.S. Faces Tough ‘Great Game’ Against China in Central Asia and Beyond,"KHIVA, Uzbekistan — Inside the ancient walls of the Silk Road oasis town of Khiva, China has put down a marker of its geopolitical ambitions. A sign promotes a Chinese aid project to renovate a once-crumbling mosque and a faded madrasa.",2020-02-13 14:12:44+00:00
"U.S. Charges Huawei With Racketeering, Adding Pressure on China","WASHINGTON — The U.S. government has charged Huawei and two of its subsidiaries with federal racketeering and conspiracy to steal trade secrets from American companies, a significant escalation in the Trump administration’s legal fight with the Chinese telecommunications company.",2020-02-13 18:52:34+00:00
The N.B.A. and China Are Showing Signs of Reconciliation,"The day after Kobe Bryant died, the Chinese ambassador to the United States, Cui Tiankai, posted a statement on Twitter: “Saddened by the tragic loss of #KobeBryant. An inspiration for many and a legend of his generation, he will always be remembered for his contribution to the world of sport and to #ChinaUS people-to-people exchanges.”",2020-02-14 10:00:19+00:00
"Huawei Is Winning the Argument in Europe, as the U.S. Fumbles to Develop Alternatives","WASHINGTON — America’s global campaign to prevent its closest allies from using Huawei, the Chinese telecom giant, in the next generation of wireless networks has largely failed, with foreign leaders publicly rebuffing the United States argument that the firm poses an unmanageable security threat.",2020-02-18 00:29:12+00:00
Trump Contradicts Advisers on China Technology Fears,"WASHINGTON — President Trump publicly objected to efforts within his own administration to restrict the sales of American technology to China over national security concerns, insisting on Tuesday that such fears were an “excuse” and that the United States was open for business.",2020-02-18 17:05:23+00:00
U.S. Designates China’s Official Media as Operatives of the Communist State,"WASHINGTON — For years they have operated as news organizations in the United States, deploying scores of journalists to cover the major events of the day and to report back to their readers and viewers at home, even if the most important of those was the leadership of the Communist Party of China.",2020-02-18 20:32:21+00:00
"On Tour, Pompeo Courts Africa, to Counter China","NAIROBI, Kenya — When U.S. Secretary of State Mike Pompeo landed in Ethiopia as part of his first foray into sub-Saharan Africa, he arrived in a city shaped by the same adversary that he had come to preach against: China.",2020-02-18 21:44:27+00:00
Coronavirus Worsens U.S.-China Ties and Bolsters Hawks in Washington,"BEIJING — Tariffs and the trade war. Espionage and Huawei. Hong Kong, Taiwan and the South China Sea.",2020-02-19 22:51:43+00:00
"Inside The Wall Street Journal, Tensions Rise Over ‘Sick Man’ China Headline","More than four dozen journalists at The Wall Street Journal challenged their bosses and criticized the newspaper’s opinion side in a letter that was sent to top executives on Thursday, the day after China announced that it would expel three Journal staff members in retaliation for a headline that offended the country’s leaders.",2020-02-23 03:30:22+00:00
U.S. Limits Chinese Staff at News Agencies Controlled by Beijing,WASHINGTON — The Trump administration on Monday limited to 100 the number of Chinese citizens who may work in the United States for five state-controlled Chinese news organizations. The decision is expected to escalate tensions between Washington and Beijing in a diplomatic feud that has caught journalists in the crossfire.,2020-03-02 18:01:14+00:00
Translator Accused of Revealing U.S. Secrets Amid Tensions With Iran,WASHINGTON — A Minnesota woman who worked as a translator for the military in Iraq was charged on Wednesday with providing highly classified information to an Iran-backed militia group. Prosecutors said she intensified her espionage as tensions between the United States and Iran increased in recent months.,2020-03-04 19:27:59+00:00
U.S.-Backed Candidate for Global Tech Post Beats China’s Nominee,"GENEVA — An American-backed candidate on Wednesday beat out China’s nominee to lead the United Nations organization charged with protecting intellectual property, a vote that followed weeks of vicious diplomatic sniping between Washington and Beijing.",2020-03-04 22:48:42+00:00
China Pushes Back as Coronavirus Crisis Damages Its Image,"BEIJING — When the coronavirus epidemic began its relentless march around the world, China’s diplomats reacted harshly toward countries that shut their borders, canceled flights or otherwise restricted travel.",2020-03-06 09:58:54+00:00
Trump Administration Blocks Chinese Acquisition of Hotel Software Company,"WASHINGTON — The Trump administration ordered a Chinese company on Friday to separate itself from an American maker of cloud-based hotel management software over national security concerns, the latest example of the more stringent approach American officials have taken to policing Chinese investment in the United States.",2020-03-06 20:36:16+00:00
"Armored Cars, Robots and Coal: North Korea Defies U.S. by Evading Sanctions","WASHINGTON — North Korea has evaded United Nations sanctions for many months by exporting coal, sand and petroleum, and importing luxury goods including armored sedans, alcohol and robotic machinery. The findings are based on an upcoming U.N. report, other assessments using satellite images and shipping data, and interviews with analysts.",2020-03-09 20:02:43+00:00
Coronavirus Spurs U.S. Efforts to End China’s Chokehold on Drugs,WASHINGTON — The global spread of the coronavirus is reigniting efforts by the Trump administration to encourage more American manufacturing of pharmaceuticals and reduce dependence on China for the drugs and medical products that fuel the federal health care system.,2020-03-11 09:00:29+00:00
"Chaos in Europe, and Anger, Over U.S. Travel Ban to Curb Coronavirus","PARIS — From airports and government offices to company boardrooms and stock exchange floors, turmoil and anger spread across Europe on Thursday after President Trump abruptly blocked most visitors from the Continent to the United States to curb the spread of the coronavirus.",2020-03-12 18:57:00+00:00
"For Trump, a New Crisis and a Familiar Response: It’s China’s Fault, and Europe’s","WASHINGTON — President Trump’s 30-day suspension of all entry into the United States for most Europeans, his most significant step yet in the halting effort to combat the coronavirus, accelerates his long-brewing divorce from many of America’s traditional allies.",2020-03-12 20:07:19+00:00
